expiration_date,contracts_total,contracts_with_iv,iv_coverage_pct,median_iv,std_iv,median_spread_pct,median_volume
2026-02-24,28,0,0.0,,,,505.0
2026-03-03,30,25,83.33,0.2768,0.1864,0.5006,907.5
2026-03-11,38,26,68.42,0.2516,0.1126,1.6787,0.0
2026-03-18,47,39,82.98,0.2316,0.1428,0.1557,500.0
2026-04-14,32,23,71.88,0.2583,0.0764,1.9987,0.0
2026-06-16,15,9,60.0,0.2604,0.0398,1.0439,0.0
2026-06-17,18,12,66.67,0.2113,0.0572,1.0308,0.0
2026-09-15,34,9,26.47,0.1687,0.0945,-2.0,0.0
2027-12-15,69,1,1.45,0.3598,,2.0,0.0
2028-03-14,170,0,0.0,,,,0.0
2028-03-15,26,0,0.0,,,,0.0
2028-06-20,172,0,0.0,,,,0.0
2028-09-19,188,0,0.0,,,,0.0
2028-12-20,189,0,0.0,,,,0.0
2029-03-21,197,0,0.0,,,,0.0
2029-06-20,185,0,0.0,,,,0.0
2029-09-18,194,0,0.0,,,-2.0,0.0
2029-12-18,192,0,0.0,,,,0.0
2030-03-19,175,0,0.0,,,,0.0
